"CUI","LAT","SAB","TTY","LOINC CODE","LOINC DESCRIPTION","STY","eCRF TERM DESCRIPTION","LOINC WEBPAGE - EXTENDED DESCRIPTION","CLINICIAN REVIEW: DO THE DESCRIPTIONS MATCH?"
"C1114363","ENG","LNC","LN","30522-7","C reactive protein:MCnc:Pt:Ser/Plas:Qn:High sensitivity","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/30522-7/",""
"C1507799","ENG","LNC","LN","35648-5","C reactive protein:Quintile:Pt:Ser/Plas:Qn:High sensitivity","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/35648-5/",""
"C3482454","ENG","LNC","LN","71426-1","C reactive protein:MCnc:Pt:Bld:Qn:High sensitivity","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/71426-1/",""
"C4037757","ENG","LNC","LN","76486-0","C reactive protein:SCnc:Pt:Ser/Plas:Qn:High sensitivity","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/76486-0/",""
"C4037758","ENG","LNC","LN","76485-2","C reactive protein:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","C-Reactive Protein, CRP (circle: mg/L or mg/dL)","https://loinc.org/76485-2/",""
"C3482455","ENG","LNC","LN","71427-9","Fibrin D-dimer FEU:MCnc:Pt:Bld:Qn:IA","Clinical Attribute","D-dimer (mcg/mL FEU)","https://loinc.org/71427-9/",""
"C5143655","ENG","LNC","LN","91556-1","Fibrin D-dimer DDU:MCnc:Pt:Bld:Qn:IA","Clinical Attribute","D-dimer (mcg/mL FEU)","https://loinc.org/91556-1/",""
"C0550235","ENG","LNC","LN","12476-8","Bilirubin:MCnc:Pt:Amnio fld:Qn:Direct spectrophotometry","Clinical Attribute","Direct bilirubin (mg/dL)","https://loinc.org/12476-8/",""
"C0943035","ENG","LNC","LN","27198-1","Bilirubin:ACnc:Pt:Amnio fld:Qn:Direct spectrophotometry","Clinical Attribute","Direct bilirubin (mg/dL)","https://loinc.org/27198-1/",""
"C1317004","ENG","LNC","LN","34543-9","Bilirubin direct & total panel:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Direct bilirubin (mg/dL)","https://loinc.org/34543-9/",""
"C1715192","ENG","LNC","LN","43887-9","Bilirubin:PrThr:Pt:Amnio fld:Ord:Direct spectrophotometry","Clinical Attribute","Direct bilirubin (mg/dL)","https://loinc.org/43887-9/",""
"C0366770","ENG","LNC","LN","4537-7","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:Westergren","Clinical Attribute","ESR (mm/hr)","https://loinc.org/4537-7/",""
"C0366771","ENG","LNC","LN","4538-5","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:Wintrobe","Clinical Attribute","ESR (mm/hr)","https://loinc.org/4538-5/",""
"C0366772","ENG","LNC","LN","4539-3","Erythrocyte sedimentation rate.Zeta:Vel:Pt:Bld:Qn:Zetafuge","Clinical Attribute","ESR (mm/hr)","https://loinc.org/4539-3/",""
"C0801232","ENG","LNC","LN","18184-2","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:Westergren.2H reading","Clinical Attribute","ESR (mm/hr)","https://loinc.org/18184-2/",""
"C1114891","ENG","LNC","LN","30341-2","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn","Clinical Attribute","ESR (mm/hr)","https://loinc.org/30341-2/",""
"C1717243","ENG","LNC","LN","43402-7","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:15M reading","Clinical Attribute","ESR (mm/hr)","https://loinc.org/43402-7/",""
"C4298696","ENG","LNC","LN","82477-1","Erythrocyte sedimentation rate:Vel:Pt:Bld:Qn:Photometric","Clinical Attribute","ESR (mm/hr)","https://loinc.org/82477-1/",""
"C0364411","ENG","LNC","LN","2276-4","Ferritin:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/2276-4/",""
"C0797897","ENG","LNC","LN","14723-1","Ferritin:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/14723-1/",""
"C0797898","ENG","LNC","LN","14724-9","Ferritin:Imp:Pt:Bld:Nom","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/14724-9/",""
"C0803376","ENG","LNC","LN","20567-4","Ferritin:MCnc:Pt:Ser/Plas:Qn:IA","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/20567-4/",""
"C0881639","ENG","LNC","LN","24373-3","Ferritin:MCnc:Pt:Bld:Qn","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/24373-3/",""
"C1953532","ENG","LNC","LN","48141-6","Ferritin:EntMass:Pt:RBC:Qn","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/48141-6/",""
"C2361536","ENG","LNC","LN","53048-5","Ferritin:MCnc:Pt:Body fld:Qn","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/53048-5/",""
"C2607829","ENG","LNC","LN","35209-6","Ferritin:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Ferritin (ng/mL)","https://loinc.org/35209-6/",""
"C0482705","ENG","LNC","LN","3255-7","Fibrinogen:MCnc:Pt:PPP:Qn:Coag","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/3255-7/",""
"C0482708","ENG","LNC","LN","3256-5","Fibrinogen Ag:MCnc:Pt:PPP:Qn:IA","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/3256-5/",""
"C0482709","ENG","LNC","LN","3259-9","Fibrinogen fragments Ag:ACnc:Pt:PPP:Qn:IA","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/3259-9/",""
"C0484868","ENG","LNC","LN","10523-9","Fibrinogen Ag:PrThr:Pt:Tiss:Ord:Immune stain","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/10523-9/",""
"C0799996","ENG","LNC","LN","16859-1","Fibrinogen:PrThr:Pt:PPP:Ord","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/16859-1/",""
"C0803799","ENG","LNC","LN","21002-1","Fibrinogen:Imp:Pt:PPP:Nom","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/21002-1/",""
"C0943660","ENG","LNC","LN","27990-1","Fibrinogen fragments:MCnc:Pt:PPP:Qn:LA","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/27990-1/",""
"C0943661","ENG","LNC","LN","27991-9","Fibrinogen fragments:MCnc:Pt:Urine:Qn:LA","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/27991-9/",""
"C1114697","ENG","LNC","LN","30902-1","Fibrinogen:MCnc:Pt:PPP:Qn:Heat denaturation","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/30902-1/",""
"C1146843","ENG","LNC","LN","31158-9","Fibrinogen Ag/Fibrinogen:MRto:Pt:PPP:Qn","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/31158-9/",""
"C1624148","ENG","LNC","LN","42772-4","Fibrinogen Ag:MCnc:Pt:PPP:Qn:Nephelometry","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/42772-4/",""
"C1954262","ENG","LNC","LN","48664-7","Fibrinogen:MCnc:Pt:PPP:Qn:Coag.derived","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/48664-7/",""
"C2607830","ENG","LNC","LN","42568-6","Fibrinogen:MSCnc:Pt:PPP:Qn:Coag","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/42568-6/",""
"C2735003","ENG","LNC","LN","56784-2","Fibrinogen fragments:MCnc:Pt:Urine:Qn","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/56784-2/",""
"C2970122","ENG","LNC","LN","60278-9","Fibrinogen Ag:PrThr:Pt:Tiss:Ord:IF","Clinical Attribute","Fibrinogen (mg/dL)","https://loinc.org/60278-9/",""
"C0364457","ENG","LNC","LN","2322-6","Gamma glutamyl transferase:CCnc:Pt:Amnio fld:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/2322-6/",""
"C0364458","ENG","LNC","LN","2323-4","Gamma glutamyl transferase:CCnc:Pt:Semen:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/2323-4/",""
"C0364459","ENG","LNC","LN","2324-2","Gamma glutamyl transferase:CCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/2324-2/",""
"C0800965","ENG","LNC","LN","17858-2","Gamma glutamyl transferase:CCnc:Pt:Body fld:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/17858-2/",""
"C0945502","ENG","LNC","LN","27403-5","Gamma glutamyl transferase:CCnc:Pt:Urine:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/27403-5/",""
"C2598065","ENG","LNC","LN","53432-1","Gamma glutamyl transferase:CCnc:Pt:Dial fld:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/53432-1/",""
"C2923090","ENG","LNC","LN","58768-3","Gamma glutamyl transferase:CRat:24H:Urine:Qn","Clinical Attribute","Gamma-glutamyl transferase (GGT/GGTP) (U/L)","https://loinc.org/58768-3/",""
"C0364479","ENG","LNC","LN","2339-0","Glucose:MCnc:Pt:Bld:Qn","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/2339-0/",""
"C0364480","ENG","LNC","LN","2340-8","Glucose:MCnc:Pt:Bld:Qn:Test strip.automated","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/2340-8/",""
"C0364481","ENG","LNC","LN","2341-6","Glucose:MCnc:Pt:Bld:Qn:Test strip manual","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/2341-6/",""
"C0484731","ENG","LNC","LN","2345-7","Glucose:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/2345-7/",""
"C0797923","ENG","LNC","LN","14749-6","Glucose:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/14749-6/",""
"C0798246","ENG","LNC","LN","15074-8","Glucose:SCnc:Pt:Bld:Qn","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/15074-8/",""
"C2607836","ENG","LNC","LN","35211-2","Glucose:MSCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/35211-2/",""
"C3533585","ENG","LNC","LN","72516-8","Glucose:SCnc:Pt:Bld:Qn:Test strip.automated","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/72516-8/",""
"C5212330","ENG","LNC","LN","93791-2","Glucose:MCnc:Stdy^mean:Ser/Plas:Qn","Clinical Attribute","Glucose (mg/dL)","https://loinc.org/93791-2/",""
"C0366777","ENG","LNC","LN","4544-3","Hematocrit:VFr:Pt:Bld:Qn:Automated count","Clinical Attribute","Hematocrit (%)","https://loinc.org/4544-3/",""
"C0366778","ENG","LNC","LN","4545-0","Hematocrit:VFr:Pt:Bld:Qn:Spun","Clinical Attribute","Hematocrit (%)","https://loinc.org/4545-0/",""
"C0800065","ENG","LNC","LN","16931-8","Hematocrit/Hemoglobin:Ratio:Pt:Bld:Qn:Automated count","Clinical Attribute","Hematocrit (%)","https://loinc.org/16931-8/",""
"C0803379","ENG","LNC","LN","20570-8","Hematocrit:VFr:Pt:Bld:Qn","Clinical Attribute","Hematocrit (%)","https://loinc.org/20570-8/",""
"C1146785","ENG","LNC","LN","31100-1","Hematocrit:VFr:Pt:Bld:Qn:Impedance","Clinical Attribute","Hematocrit (%)","https://loinc.org/31100-1/",""
"C1954321","ENG","LNC","LN","48703-3","Hematocrit:VFr:Pt:Bld:Qn:Estimated","Clinical Attribute","Hematocrit (%)","https://loinc.org/48703-3/",""
"C3484063","ENG","LNC","LN","71833-8","Hematocrit:VFr.DF:Pt:Bld:Qn:Automated count","Clinical Attribute","Hematocrit (%)","https://loinc.org/71833-8/",""
"C0362923","ENG","LNC","LN","718-7","Hemoglobin:MCnc:Pt:Bld:Qn","Clinical Attribute","Hemoglobin (g/dL)","https://loinc.org/718-7/",""
"C0803320","ENG","LNC","LN","20509-6","Hemoglobin:MCnc:Pt:Bld:Qn:Calculated","Clinical Attribute","Hemoglobin (g/dL)","https://loinc.org/20509-6/",""
"C2733676","ENG","LNC","LN","55782-7","Hemoglobin:MCnc:Pt:Bld:Qn:Oximetry","Clinical Attribute","Hemoglobin (g/dL)","https://loinc.org/55782-7/",""
"C2923664","ENG","LNC","LN","59260-0","Hemoglobin:SCnc:Pt:Bld:Qn","Clinical Attribute","Hemoglobin (g/dL)","https://loinc.org/59260-0/",""
"C0550844","ENG","LNC","LN","12729-0","Interferon.gamma:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IFN-gamma (pg/mL)","https://loinc.org/12729-0/",""
"C0943214","ENG","LNC","LN","27415-9","Interferon.gamma:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IFN-gamma (pg/mL)","https://loinc.org/27415-9/",""
"C2966877","ENG","LNC","LN","60485-0","Interferon.gamma:MCnc:Pt:Body fld:Qn","Clinical Attribute","Cytokine panel: IFN-gamma (pg/mL)","https://loinc.org/60485-0/",""
"C0364598","ENG","LNC","LN","2458-8","IgA:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/2458-8/",""
"C0550393","ENG","LNC","LN","13312-4","IgA Ab.IgG:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/13312-4/",""
"C0550394","ENG","LNC","LN","12725-8","IgA.secretory:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/12725-8/",""
"C0797348","ENG","LNC","LN","14163-0","IgA.secretory:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/14163-0/",""
"C3846745","ENG","LNC","LN","74865-7","IgA.lambda:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/74865-7/",""
"C3847089","ENG","LNC","LN","74864-0","IgA.kappa:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/74864-0/",""
"C3847284","ENG","LNC","LN","74869-9","IgA.kappa/IgA.lambda:MRto:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/74869-9/",""
"C4037756","ENG","LNC","LN","76487-8","IgA:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/76487-8/",""
"C4532254","ENG","LNC","LN","87552-6","IgA & IgA subclass 1 & IgA subclass 2 panel:-:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgA (mg/dL)","https://loinc.org/87552-6/",""
"C0802050","ENG","LNC","LN","19113-0","IgE:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgE (mg/dL)","https://loinc.org/19113-0/",""
"C4037755","ENG","LNC","LN","76488-6","IgE:MCnc:Pt:Ser/Plas:Qn:IA","Clinical Attribute","Immunoglobulin levels: IgE (mg/dL)","https://loinc.org/76488-6/",""
"C4285436","ENG","LNC","LN","83102-4","IgE:ACnc:Pt:Ser/Plas:Qn:IA","Clinical Attribute","Immunoglobulin levels: IgE (mg/dL)","https://loinc.org/83102-4/",""
"C0364605","ENG","LNC","LN","2465-3","IgG:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/2465-3/",""
"C3847090","ENG","LNC","LN","74863-2","IgG.lambda:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/74863-2/",""
"C3847091","ENG","LNC","LN","74862-4","IgG.kappa:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/74862-4/",""
"C3847285","ENG","LNC","LN","74868-1","IgG.kappa/IgG.lambda:MRto:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/74868-1/",""
"C4037484","ENG","LNC","LN","77177-4","IgG:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/77177-4/",""
"C4070582","ENG","LNC","LN","78962-8","IgG clearance/Transferrin clearance:Ratio:Pt:Urine+Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/78962-8/",""
"C4070583","ENG","LNC","LN","78961-0","IgG clearance/Albumin clearance:Ratio:Pt:Urine+Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgG (mg/dL)","https://loinc.org/78961-0/",""
"C0364612","ENG","LNC","LN","2472-9","IgM:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgM (mg/dL)","https://loinc.org/2472-9/",""
"C0550396","ENG","LNC","LN","13313-2","IgM Ab.IgM:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgM (mg/dL)","https://loinc.org/13313-2/",""
"C3847088","ENG","LNC","LN","74870-7","IgM.kappa/IgM.lambda:MRto:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgM (mg/dL)","https://loinc.org/74870-7/",""
"C3847286","ENG","LNC","LN","74867-3","IgM.lambda:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgM (mg/dL)","https://loinc.org/74867-3/",""
"C3847287","ENG","LNC","LN","74866-5","IgM.kappa:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgM (mg/dL)","https://loinc.org/74866-5/",""
"C4037752","ENG","LNC","LN","76491-0","IgM:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Immunoglobulin levels: IgM (mg/dL)","https://loinc.org/76491-0/",""
"C0366883","ENG","LNC","LN","4650-8","Interleukin 1:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/4650-8/",""
"C0550845","ENG","LNC","LN","12732-4","Interleukin 12:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/12732-4/",""
"C0796820","ENG","LNC","LN","13629-1","Interleukin 1 beta:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/13629-1/",""
"C0800152","ENG","LNC","LN","17022-5","Interleukin 1+2:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/17022-5/",""
"C0945416","ENG","LNC","LN","26848-2","Interleukin 10:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/26848-2/",""
"C1316285","ENG","LNC","LN","33821-0","Interleukin 1 alpha:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/33821-0/",""
"C1316286","ENG","LNC","LN","33822-8","Interleukin 13:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/33822-8/",""
"C1316287","ENG","LNC","LN","33823-6","Interleukin 18:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/33823-6/",""
"C1316869","ENG","LNC","LN","34407-7","Interleukin 1:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/34407-7/",""
"C1646781","ENG","LNC","LN","41760-0","Interleukin 12:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/41760-0/",""
"C2733895","ENG","LNC","LN","55926-0","Interleukin 1 receptor alpha chain:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/55926-0/",""
"C2733897","ENG","LNC","LN","55927-8","Interleukin 1 receptor alpha chain.soluble:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/55927-8/",""
"C4298781","ENG","LNC","LN","82334-4","Interleukin 17A:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-1 (pg/mL)","https://loinc.org/82334-4/",""
"C0945416","ENG","LNC","LN","26848-2","Interleukin 10:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-10 (pg/mL)","https://loinc.org/26848-2/",""
"C1976809","ENG","LNC","LN","49733-9","Interleukin 10:MCnc:Pt:Body fld:Qn","Clinical Attribute","Cytokine panel: IL-10 (pg/mL)","https://loinc.org/49733-9/",""
"C1977780","ENG","LNC","LN","49909-5","Interleukin 10:MCnc:Pt:CSF:Qn","Clinical Attribute","Cytokine panel: IL-10 (pg/mL)","https://loinc.org/49909-5/",""
"C0550845","ENG","LNC","LN","12732-4","Interleukin 12:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-12 (pg/mL)","https://loinc.org/12732-4/",""
"C1646781","ENG","LNC","LN","41760-0","Interleukin 12:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-12 (pg/mL)","https://loinc.org/41760-0/",""
"C1831379","ENG","LNC","LN","47317-3","Interleukin 12:MCnc:Pt:Body fld:Qn:IA","Clinical Attribute","Cytokine panel: IL-12 (pg/mL)","https://loinc.org/47317-3/",""
"C1316286","ENG","LNC","LN","33822-8","Interleukin 13:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-13 (pg/mL)","https://loinc.org/33822-8/",""
"C3482172","ENG","LNC","LN","70089-8","Interleukin 13:MCnc:Pt:CSF:Qn","Clinical Attribute","Cytokine panel: IL-13 (pg/mL)","https://loinc.org/70089-8/",""
"C3482173","ENG","LNC","LN","70090-6","Interleukin 13:MCnc:Pt:Body fld:Qn","Clinical Attribute","Cytokine panel: IL-13 (pg/mL)","https://loinc.org/70090-6/",""
"C0366884","ENG","LNC","LN","4651-6","Interleukin 2:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/4651-6/",""
"C0485105","ENG","LNC","LN","9654-5","Interleukin 2 receptor.soluble:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/9654-5/",""
"C0881710","ENG","LNC","LN","24458-2","Interleukin 2 receptor:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/24458-2/",""
"C1316402","ENG","LNC","LN","33939-0","Interleukin 2:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/33939-0/",""
"C1316870","ENG","LNC","LN","34408-5","Interleukin 2 receptor.soluble:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/34408-5/",""
"C1714555","ENG","LNC","LN","43171-8","Interleukin 2 receptor:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/43171-8/",""
"C1715648","ENG","LNC","LN","44422-4","Interleukin 2 receptor alpha chain.soluble:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/44422-4/",""
"C3869981","ENG","LNC","LN","76039-7","Interleukin 2 receptor.soluble:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 receptor soluble serum (pg/mL)","https://loinc.org/76039-7/",""
"C0366884","ENG","LNC","LN","4651-6","Interleukin 2:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/4651-6/",""
"C0485105","ENG","LNC","LN","9654-5","Interleukin 2 receptor.soluble:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/9654-5/",""
"C0881710","ENG","LNC","LN","24458-2","Interleukin 2 receptor:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/24458-2/",""
"C1316402","ENG","LNC","LN","33939-0","Interleukin 2:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/33939-0/",""
"C1316870","ENG","LNC","LN","34408-5","Interleukin 2 receptor.soluble:SCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/34408-5/",""
"C1714555","ENG","LNC","LN","43171-8","Interleukin 2 receptor:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/43171-8/",""
"C1715648","ENG","LNC","LN","44422-4","Interleukin 2 receptor alpha chain.soluble:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/44422-4/",""
"C3869981","ENG","LNC","LN","76039-7","Interleukin 2 receptor.soluble:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-2 (pg/mL)","https://loinc.org/76039-7/",""
"C0366886","ENG","LNC","LN","4653-2","Interleukin 4:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-4 (pg/mL)","https://loinc.org/4653-2/",""
"C0943006","ENG","LNC","LN","27161-9","Interleukin 4:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-4 (pg/mL)","https://loinc.org/27161-9/",""
"C3482165","ENG","LNC","LN","70082-3","Interleukin 4:MCnc:Pt:Body fld:Qn","Clinical Attribute","Cytokine panel: IL-4 (pg/mL)","https://loinc.org/70082-3/",""
"C3482166","ENG","LNC","LN","70083-1","Interleukin 4:MCnc:Pt:CSF:Qn","Clinical Attribute","Cytokine panel: IL-4 (pg/mL)","https://loinc.org/70083-1/",""
"C0366887","ENG","LNC","LN","4654-0","Interleukin 5:ACnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-5 (pg/mL)","https://loinc.org/4654-0/",""
"C1316401","ENG","LNC","LN","33938-2","Interleukin 5:MCnc:Pt:Ser/Plas:Qn","Clinical Attribute","Cytokine panel: IL-5 (pg/mL)","https://loinc.org/33938-2/",""
"C1714835","ENG","LNC","LN","44321-8","Interleukin 5:PrThr:Pt:Ser/Plas:Ord","Clinical Attribute","Cytokine panel: IL-5 (pg/mL)","https://loinc.org/44321-8/",""
"C3482167","ENG","LNC","LN","70084-9","Interleukin 5:MCnc:Pt:CSF:Qn","Clinical Attribute","Cytokine panel: IL-5 (pg/mL)","https://loinc.org/70084-9/",""
"C3482168","ENG","LNC","LN","70085-6","Interleukin 5:MCnc:Pt:Body fld:Qn","Clinical Attribute","Cytokine panel: IL-5 (pg/mL)","https://loinc.org/70085-6/",""
